files,name,labels,reds,ra,dec
sdss_ra=49.4776_dec=41.384.png,PCC-1378,0,6.325,49.4776,41.384
sdss_ra=49.6469_dec=41.4505.png,PCC-2605,0,3.2575,49.6469,41.4505
sdss_ra=49.4487_dec=41.3384.png,PCC-1198,0,1.0375,49.4487,41.3384
sdss_ra=49.9154_dec=41.2302.png,PCC-4755,0,3.9775,49.9154,41.2302
sdss_ra=49.5268_dec=41.3295.png,PCC-1707,0,6.0975,49.5268,41.3295
sdss_ra=49.6184_dec=41.4546.png,PCC-2341,0,1.7125,49.6184,41.4546
sdss_ra=49.5331_dec=41.4152.png,PCC-1749,0,2.0575,49.5331,41.4152
sdss_ra=49.9564_dec=41.3138.png,PCC-5087,0,31.96,49.9564,41.3138
sdss_ra=49.4815_dec=41.434.png,PCC-1406,0,0.8525,49.4815,41.434
sdss_ra=49.7513_dec=41.2058.png,PCC-3441,0,26.625,49.7513,41.2058
sdss_ra=49.7705_dec=41.3615.png,PCC-3605,0,7.835,49.7705,41.3615
sdss_ra=49.5475_dec=41.5225.png,PCC-1827,0,10.325,49.5475,41.5225
sdss_ra=49.8839_dec=41.7175.png,PCC-4515,0,6.82,49.8839,41.7175
sdss_ra=49.7875_dec=41.5292.png,PCC-3700,0,11.1775,49.7875,41.5292
sdss_ra=49.6116_dec=41.197.png,PCC-2283,0,1.5825,49.6116,41.197
sdss_ra=49.3766_dec=41.5364.png,PCC-0774,0,0.0975,49.3766,41.5364
sdss_ra=49.9579_dec=41.2971.png,PCC-5101,0,18.745,49.9579,41.2971
sdss_ra=49.4142_dec=41.3882.png,PCC-0989,0,1.6325,49.4142,41.3882
sdss_ra=49.3855_dec=41.3037.png,PCC-0817,0,10.1125,49.3855,41.3037
sdss_ra=49.9366_dec=41.7691.png,PCC-4910,0,2.935,49.9366,41.7691
sdss_ra=49.3594_dec=41.3355.png,PCC-0670,0,0.485,49.3594,41.3355
sdss_ra=49.5511_dec=41.4042.png,PCC-1849,0,0.89,49.5511,41.4042
sdss_ra=49.9814_dec=41.4202.png,PCC-5240,0,1.585,49.9814,41.4202
sdss_ra=49.8038_dec=41.5811.png,PCC-3849,0,2.1175,49.8038,41.5811
sdss_ra=49.7545_dec=41.3027.png,PCC-3462,0,10.5675,49.7545,41.3027
sdss_ra=49.6744_dec=41.3395.png,PCC-2819,0,1.1975,49.6744,41.3395
sdss_ra=49.5411_dec=41.5389.png,PCC-1795,0,6.025,49.5411,41.5389
sdss_ra=49.3541_dec=41.4703.png,PCC-0641,0,10.3425,49.3541,41.4703
sdss_ra=49.3431_dec=41.5987.png,PCC-0571,0,1.5575,49.3431,41.5987
sdss_ra=49.5907_dec=41.6753.png,PCC-2113,0,8.5275,49.5907,41.6753
sdss_ra=49.6283_dec=41.2297.png,PCC-2441,0,13.07,49.6283,41.2297
sdss_ra=49.3329_dec=41.4999.png,PCC-0514,0,0.92,49.3329,41.4999
sdss_ra=49.7564_dec=41.2183.png,PCC-3477,0,6.9975,49.7564,41.2183
sdss_ra=49.8498_dec=41.6619.png,PCC-4214,0,1.06,49.8498,41.6619
