objID,ra,dec,u_g,g_z,modelMag_r,petroRad_r,flags,Column1
1237661059574203219,49.64760695,41.66702696,1.492852,1.38838,14.44279,2.502188,1.75956E+14,PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD 
1237661059574595780,50.58284591,41.25530519,1.680008,1.663694,15.60067,10.80535,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
1237661059574596597,50.50223184,41.16897783,1.693405,1.629002,16.72915,7.371383,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
1237661060111204440,50.21644335,41.97160453,1.037754,0.6412258,14.91491,2.223059,72611748168208400,MAYBE_CR TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
1237661060111401487,50.86433906,41.71032179,0.09600258,-0.2999401,15.77957,17.28497,2.46325E+14,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED EDGE 
1237661083199275822,49.78625697,41.12691382,1.691584,1.348373,16.78884,15.91708,3.52877E+13,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP COSMIC_RAY NOPETRO NODEBLEND CHILD BLENDED 
1237661122387837316,49.30302653,41.48337941,1.113441,1.085394,16.24548,11.38431,5.27835E+14,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
1237661059574268657,49.78521268,41.58111118,1.675518,1.541508,16.89758,8.444178,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED 
1237661059574530110,50.37838708,41.35866589,0.8225288,0.6604671,17.25646,18.83058,72163181783028244,MAYBE_CR DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 NOTCHECKED INTERP COSMIC_RAY MANYPETRO CHILD EDGE 
1237661083199078716,49.23853032,41.35674474,1.509821,1.065702,16.95093,22.89786,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD EDGE 
1237661083199145348,49.33478789,41.25837194,1.58585,1.395929,16.82821,10.32107,1.76025E+14,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED 
1237661121850901163,48.99997953,41.28751027,1.310324,0.920393,16.52428,2.525778,1128281801753160,DEBLEND_DEGENERATE BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE BAD_MOVING_FIT NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED MANYPETRO NODEBLEND BLENDED 
1237661122388099272,49.90411378,41.17102329,1.492437,1.232197,17.29912,5.760041,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED 
1237670960021571131,50.03764312,41.81728502,1.696735,1.561823,17.12532,16.26934,1.76025E+14,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY NOPETRO CHILD 
1237661055281856931,50.04219961,41.35114825,1.357574,1.227993,15.11414,9.771952,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD EDGE 
1237661055281857617,50.05527904,41.28687433,1.68858,1.352522,15.66404,7.559559,3.52555E+13,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD 
1237661055282053546,50.52715952,41.0818032,1.495518,1.399714,16.69114,10.92927,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
1237661055818465980,49.72333517,41.98717204,1.156849,0.7213154,16.34774,19.57009,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD 
1237661059574595655,50.61272918,41.3282122,1.38002,1.20992,15.39329,13.99185,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
1237661059574662395,50.79694958,41.1513883,1.628483,1.553587,16.95778,7.981071,1161153266974736,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD 
1237661060111007994,49.70929763,42.15148229,1.553259,1.13996,15.18439,7.388504,1.75991E+14,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY MANYPETRO CHILD 
1237661060111008401,49.86495843,42.206252,1.067913,0.8075495,15.61258,4.846593,5.54154E+14,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
1237661060111009021,49.76007655,42.12256354,1.185472,0.9597225,17.05052,6.933965,3.51846E+13,DEBLENDED_AT_EDGE BINNED1 CHILD 
1237661060111336490,50.50612725,41.69720357,1.647188,1.438453,16.58118,6.742082,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD 
1237670458048512961,49.94279041,41.87951544,1.354103,0.9128513,17.16523,1.610504,3.52555E+13,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD 
1237670960021111926,49.4104878,41.01142476,1.627186,1.343174,16.11625,11.60466,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
1237661055818662378,50.09191905,41.64091693,0.8519583,0.6144123,14.50608,20.99753,1161118907241048,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY MANYPETRO NODEBLEND CHILD BLENDED 
1237661056355467464,50.21433406,42.16565006,0.9560127,0.7007618,17.1863,3.863254,3.5219E+13,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP CHILD 
1237661059574203088,49.67044705,41.73750276,1.595282,1.203937,15.3859,1.082396,3.52211E+13,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 SATURATED INTERP CHILD 
1237661122387903518,49.51836975,41.36974302,1.658012,1.638861,16.87384,10.23682,1.93583E+14,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD 
1237661122388034195,49.74541711,41.32087267,1.561756,1.517712,17.17602,8.498062,3.52534E+13,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD 
