#Table1
files,name,labels,reds,objID,type,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r
sdss_ra=49.9985_dec=41.3856.png,PCC-5387,0,3.3975,1237661055281858002,GALAXY,49.9984859667094,41.3856061598763,18.58372,2.33016,2.217403,1.269188,1.837666,0.5684776,0.9482155,5.380006
sdss_ra=49.5411_dec=41.5389.png,PCC-1795,0,6.025,1237661055281661552,GALAXY,49.5411265641304,41.5389351099106,17.08435,1.635536,1.69525,0.9603004,1.370968,0.4106674,0.7349491,10.59743
sdss_ra=49.6769_dec=41.3202.png,PCC-2835,0,5.01,1237661122387968404,GALAXY,49.6768962382152,41.3202550249105,23.41172,1.138586,0.929184,-2.633751,0.9379463,3.571697,3.562935,0.2096673
sdss_ra=49.6116_dec=41.197.png,PCC-2283,0,1.5825,1237661083199210860,GALAXY,49.6115739039062,41.1970212377981,19.4838,1.099449,1.053764,0.6972961,0.9551105,0.2578144,0.3564682,2.064733
sdss_ra=50.0028_dec=41.3384.png,PCC-5417,0,3.2525,1237661055281857479,GALAXY,50.0027325337613,41.3383687088605,18.87916,2.246117,2.017632,1.125536,1.634195,0.5086594,0.8920956,2.361201
sdss_ra=49.4525_dec=41.5851.png,PCC-1222,0,1.9275,1237661055281661427,GALAXY,49.4525396601503,41.5851221091196,18.69894,2.340355,2.300087,1.253277,1.812626,0.5593491,1.04681,1.684652
sdss_ra=49.3881_dec=41.3949.png,PCC-0828,0,13.7625,1237661083199144027,GALAXY,49.3880968070861,41.3948394450498,24.80204,4.289604,-2.481848,-4.456974,1.40727,5.864244,1.975126,2.969725
sdss_ra=49.5811_dec=41.3339.png,PCC-2031,0,0.6825,1237661122387969192,GALAXY,49.5810512115398,41.3339013720838,19.05031,3.723814,1.912785,1.102652,1.592049,0.489397,0.810133,2.765185
sdss_ra=49.9366_dec=41.7691.png,PCC-4910,0,2.935,1237670458048447673,STAR,49.9365754763841,41.7690446693286,18.66884,1.262079,0.7376442,0.4588585,0.6491127,0.1902542,0.2787857,1.323857
sdss_ra=49.9154_dec=41.2302.png,PCC-4755,0,3.9775,1237661055281857000,GALAXY,49.9154113328278,41.2301728876799,19.58429,1.110455,1.052357,0.5357056,0.9369564,0.4012508,0.5166512,2.190548
sdss_ra=49.9814_dec=41.4202.png,PCC-5240,0,1.585,1237661059574400501,GALAXY,49.9814135604516,41.4201589478199,18.69531,2.256126,2.309149,1.302322,1.859701,0.5573788,1.006826,1.785305
sdss_ra=49.9579_dec=41.2971.png,PCC-5101,0,18.745,1237661055281856802,STAR,49.9561049659577,41.291949506176,15.49529,1.302483,0.7924604,0.5114565,0.7130737,0.2016172,0.281004,1.069027
sdss_ra=49.5082_dec=41.4069.png,PCC-1581,0,2.4,1237661055281727219,GALAXY,49.5081497348617,41.4068642573042,19.18396,1.617607,2.170547,1.181578,1.76165,0.5800724,0.9889698,2.971488
sdss_ra=49.3431_dec=41.5987.png,PCC-0571,0,1.5575,1237661055281595489,GALAXY,49.3431338946377,41.5986877386009,19.1549,1.603796,2.307459,1.289614,1.916906,0.6272926,1.017845,3.18299
sdss_ra=49.4477_dec=41.575.png,PCC-1191,0,1.6075,1237661055281661072,GALAXY,49.4476929976336,41.5750018634696,19.28125,1.179611,2.363596,1.374626,1.845175,0.4705486,0.9889698,2.867623
sdss_ra=49.4978_dec=41.6188.png,PCC-1515,0,3.41,1237661055281661084,GALAXY,49.4977702126779,41.6188440534774,19.14728,2.63018,3.015774,1.925604,2.623369,0.6977654,1.09017,2.736268
sdss_ra=49.7004_dec=41.5288.png,PCC-3025,0,1.695,1237661055281726540,GALAXY,49.7003609919262,41.5287810840031,18.14975,1.913448,2.023123,1.074192,1.601822,0.5276299,0.9489307,2.60607
sdss_ra=49.6199_dec=41.6827.png,PCC-2351,0,12.735,1237661059574203129,GALAXY,49.6198055819706,41.6826848521742,19.011,1.927773,2.27211,1.325798,1.867575,0.5417767,0.946312,7.359175
sdss_ra=49.2758_dec=41.5415.png,PCC-0168,0,5.9025,1237661055281594918,GALAXY,49.2757658853289,41.541452386982,18.20954,1.958893,1.866634,0.9678841,1.519825,0.5519409,0.8987503,5.510351
sdss_ra=49.3878_dec=41.5814.png,PCC-0826,0,0.705,1237661055281596074,GALAXY,49.387826987431,41.5814710521614,19.63632,1.020618,1.035004,0.4184704,0.8280163,0.4095459,0.6165333,2.409705
sdss_ra=49.8839_dec=41.7175.png,PCC-4515,0,6.82,1237670458048446775,GALAXY,49.8839020898115,41.7174905840822,19.11043,2.124285,1.930006,1.064421,1.621397,0.5569763,0.8655853,2.624102
sdss_ra=49.5885_dec=41.6896.png,PCC-2087,0,2.39,1237661059574204597,GALAXY,49.5885192498044,41.6896347861921,19.13894,1.366329,1.683722,0.9281864,1.477312,0.5491257,0.7555351,4.349349
sdss_ra=49.8546_dec=41.2312.png,PCC-4260,0,4.5675,1237661055281857745,GALAXY,49.8545744718202,41.2311616626046,17.52987,1.296873,1.309456,0.7080746,1.115786,0.407711,0.6013813,6.444811
sdss_ra=49.7118_dec=41.7236.png,PCC-3109,0,1.48,1237661059574204815,GALAXY,49.7117955318649,41.7236199072246,19.05034,0.9824352,2.012373,1.204248,1.620054,0.4158058,0.8081245,3.903545
sdss_ra=49.5591_dec=41.5027.png,PCC-1896,0,12.3575,1237661055281660810,GALAXY,49.5591119542989,41.50269492049,18.12185,1.647087,2.114698,1.089037,1.696108,0.6070709,1.025661,2.813462
sdss_ra=49.4784_dec=41.2846.png,PCC-1388,0,3.62,1237661083199144672,STAR,49.4783603408726,41.2846440250849,18.19622,1.399605,0.814724,0.5241508,0.7064209,0.1822701,0.2905731,1.029408
sdss_ra=50.004_dec=41.341.png,PCC-5423,0,5.62,1237661055281857482,GALAXY,50.0039643129297,41.3409569288291,17.69603,2.224802,2.140968,1.194695,1.712109,0.5174141,0.9462738,4.11813
sdss_ra=49.7345_dec=41.6346.png,PCC-3313,0,4.3675,1237661059574268296,GALAXY,49.7345627927002,41.6346210834124,17.83581,1.472054,1.365313,0.7534256,1.17605,0.4226246,0.611887,3.930212
sdss_ra=49.242_dec=41.4454.png,PCC-0011,0,0.24,1237661083199080163,GALAXY,49.2420270776599,41.445334295808,19.29897,1.421982,1.805445,1.054596,1.473343,0.4187469,0.7508488,3.312139
sdss_ra=49.6028_dec=41.5367.png,PCC-2195,0,8.365,1237661055281660877,GALAXY,49.6027522080411,41.5367374698063,18.24393,3.259443,2.572918,1.452351,2.107887,0.6555367,1.120567,5.366109
sdss_ra=49.6184_dec=41.4546.png,PCC-2341,0,1.7125,1237661055281726881,GALAXY,49.6184376585242,41.4545545050076,18.95229,1.717859,2.589348,1.56773,2.206661,0.6389313,1.021618,2.714802
sdss_ra=49.6482_dec=41.2272.png,PCC-2616,0,7.545,1237661083199210692,STAR,49.6485913731018,41.2272802998584,22.92632,1.581036,0.3094769,0.03042984,0.5919361,0.5615063,0.279047,0.8403155
sdss_ra=49.9437_dec=41.3786.png,PCC-4969,0,7.01,1237661055281857731,GALAXY,49.9436540725814,41.3785138119629,18.94984,1.393999,0.07774925,0.3898945,0.3770294,-0.01286507,-0.3121452,3.120096
sdss_ra=49.6744_dec=41.3395.png,PCC-2819,0,1.1975,1237661122387969061,GALAXY,49.6744409144411,41.3394635152311,17.70543,3.156122,2.556904,1.460838,2.121273,0.6604347,1.096066,5.794446
sdss_ra=49.6164_dec=41.4551.png,PCC-2329,0,1.3825,1237661055281726882,GALAXY,49.6163873223784,41.455144945753,18.97246,2.406187,2.462307,1.480692,2.068567,0.5878754,0.9816151,2.716261
sdss_ra=49.623_dec=41.7693.png,PCC-2383,0,2.5125,1237661059574202849,STAR,49.6229716532135,41.7692838426921,18.8141,1.60638,1.170748,0.7064781,0.9619141,0.2554359,0.4642696,0.9699834
sdss_ra=49.5268_dec=41.3295.png,PCC-1707,0,6.0975,1237661083199145265,GALAXY,49.5268439342167,41.3295268911503,18.77175,1.152348,0.805294,0.3836575,0.6512833,0.2676258,0.4216366,3.169831
