ra,dec
49.43464,40.87648
50.71059,40.90011
50.43778,40.96237
50.55783,40.95394
50.27557,40.97107
49.08633,40.97127
50.33284,40.99509
50.01600,41.05777
50.52619,41.08242
49.26452,41.09188
49.54948,41.23287
49.81257,41.23137
50.71703,41.24594
49.71770,41.26755
50.34345,41.27714
49.61810,41.28606
49.42728,41.32309
48.92604,41.31836
50.14164,41.37964
49.78269,41.41263
50.33074,41.41562
49.21440,41.45938
50.06715,41.48258
50.34479,41.50313
49.01468,41.52288
49.51195,41.51297
50.28064,41.53824
50.47216,41.56143
50.49371,41.57921
49.42844,41.59988
49.86271,41.60818
49.39353,41.62147
49.79257,41.67811
50.49710,41.78499
49.48984,41.77585
50.63848,41.79206
49.60997,41.81874
49.44231,41.93492
50.32299,41.97126
50.56341,41.97293
50.02595,42.00451
49.78714,42.13901
50.17779,42.20089
49.48429,42.20973
49.70962,42.31499
50.35571,40.90381
49.84918,41.09801
50.07848,41.09704
50.48358,41.10194
49.76534,41.19418
50.32510,41.40939
48.87942,41.48487
50.02964,41.53824
50.12943,41.56757
49.24521,41.68621
50.18575,42.03045
