#Table1
files,name,labels,objID,ra,dec,type,u_g,modelMag_r,g_z,petroRad_r
sdss_ra=49.4508_dec=41.5244.png,PCC-1208,0,1237661055281661473,49.4507796093674,41.5244185292264,GALAXY,1.893843,18.05545,2.355289,5.027214
sdss_ra=49.5907_dec=41.6753.png,PCC-2113,0,1237661059574202930,49.5907237806464,41.6753043131353,GALAXY,2.003326,19.52824,1.967318,1.203707
sdss_ra=49.7208_dec=41.5487.png,PCC-3190,0,1237661059574268417,49.7208706905827,41.5487594778721,GALAXY,5.01543,17.2,-2.64452,10.22438
sdss_ra=49.9834_dec=41.4553.png,PCC-5257,0,1237661059574400487,49.9833659082789,41.4552606660974,GALAXY,1.55584,18.84386,1.950048,3.567956
sdss_ra=49.6283_dec=41.2297.png,PCC-2441,0,1237661083199210085,49.6282984725789,41.2297381161989,GALAXY,2.810484,16.77809,2.274058,9.235088
sdss_ra=49.407_dec=41.3729.png,PCC-0954,0,1237661083199144013,49.4070053187422,41.3728592862594,GALAXY,2.818373,18.02692,2.251625,4.021092
sdss_ra=49.242_dec=41.4454.png,PCC-0011,0,1237661083199080163,49.2420270776599,41.445334295808,GALAXY,1.421982,19.29897,1.805445,3.312139
sdss_ra=49.2744_dec=41.5706.png,PCC-0160,0,1237661055281595776,49.2744136639967,41.5706272026805,GALAXY,4.13319,19.29786,2.419987,2.449012
sdss_ra=49.985_dec=41.3319.png,PCC-5271,0,1237661055281857785,49.9849660812263,41.3318583190389,GALAXY,1.940145,19.01034,2.032547,3.20494
sdss_ra=49.5236_dec=41.5182.png,PCC-1689,0,1237661055281660354,49.5235184197161,41.5182228769557,GALAXY,1.437931,18.18948,1.546644,3.301259
sdss_ra=49.7545_dec=41.3027.png,PCC-3462,0,1237661122388033648,49.7545019001842,41.3027402903354,GALAXY,1.401993,19.19832,1.426046,2.44522
sdss_ra=49.9564_dec=41.3138.png,PCC-5087,0,1237661055281858011,49.9563931434652,41.3138262763393,GALAXY,1.063026,20.17738,1.449718,1.872197
sdss_ra=49.8546_dec=41.2312.png,PCC-4260,0,1237661055281857745,49.8545744718202,41.2311616626046,GALAXY,1.296873,17.52987,1.309456,6.444811
sdss_ra=49.5094_dec=41.5135.png,PCC-1592,0,1237661055281660368,49.5093532320236,41.5134711427494,GALAXY,1.211895,21.59679,0.3799782,1.443977
