#Table1
labels,true_labels,pred_labels,label_diffs,objID,ra,dec,r,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,distance
1,1,1,0,1237661059574333557,49.9509598680934,41.5471605767789,14.49405,14.11906,1.101402,0.2173786,1.436186,0.7750206,0.8520336,0.07701302,0.6611652,2.05257220525649
1,1,1,0,1237661059574333557,49.9509598680934,41.5471605767789,14.49405,14.11906,1.101402,0.2173786,1.436186,0.7750206,0.8520336,0.07701302,0.6611652,2.05257220525649
1,1,1,0,1237661059574333557,49.9509598680934,41.5471605767789,14.49405,14.11906,1.101402,0.2173786,1.436186,0.7750206,0.8520336,0.07701302,0.6611652,2.05257220525649
1,1,1,0,1237661059574333557,49.9509598680934,41.5471605767789,14.49405,14.11906,1.101402,0.2173786,1.436186,0.7750206,0.8520336,0.07701302,0.6611652,2.05257220525649
1,1,1,0,1237661059574334576,49.9077253818559,41.4725170355745,22.05002,21.68037,2.257058,-0.04884529,2.587074,1.522949,2.158566,0.6356163,1.064125,2.99954250765665
1,1,1,0,1237661059574334072,49.9325721909726,41.4569819791321,15.13689,14.76837,1.594644,2.148634,1.923657,1.00928,1.530828,0.5215483,0.9143772,3.42643799612177
1,1,1,0,1237661059574334072,49.9325721909726,41.4569819791321,15.13689,14.76837,1.594644,2.148634,1.923657,1.00928,1.530828,0.5215483,0.9143772,3.42643799612177
0,0,0,0,1237661059574400487,49.9833659082789,41.4552606660974,18.84386,18.47572,1.621381,1.55584,1.950048,1.016344,1.584887,0.5685425,0.9337044,3.84181412199957
1,1,1,0,1237661059574334104,49.935962259091,41.4464621363995,15.5348,15.16743,1.485168,1.951349,1.813143,0.952879,1.419697,0.4668179,0.8602638,4.02730104525718
0,0,0,0,1237661059574334114,50.0299197642029,41.552969242595,18.42844,18.05426,2.554867,3.159212,2.888931,1.52495,2.367767,0.8428173,1.363981,4.43771356642095
0,0,0,0,1237661059574399247,49.9883305149312,41.4458746990913,18.0516,17.68357,2.488631,2.7271,2.8172,1.565123,2.373089,0.8079662,1.252077,4.4464867196664
1,1,1,0,1237661059574333649,49.9286896562222,41.6007242294404,15.77401,15.39343,1.370379,1.872707,1.710159,0.9069777,1.365982,0.4590044,0.8031816,5.31927576279503
0,0,0,0,1237661059574400501,49.9814135604516,41.4201589478199,18.69531,18.32771,1.980966,2.256126,2.309149,1.302322,1.859701,0.5573788,1.006826,5.79075509892963
1,1,1,0,1237661059574334013,49.9705060262728,41.6087855128691,15.59959,15.21926,1.334891,1.906456,1.674442,0.8993855,1.351961,0.4525757,0.7750568,5.8397650463499
1,1,1,0,1237661059574334013,49.9705060262728,41.6087855128691,15.59959,15.21926,1.334891,1.906456,1.674442,0.8993855,1.351961,0.4525757,0.7750568,5.8397650463499
1,1,1,0,1237661059574333973,49.8969485311762,41.6178802992268,18.18883,17.80134,1.063012,1.654661,1.408957,0.7970448,1.148991,0.3519459,0.6119118,6.67175492601025
0,0,0,0,1237661059574269422,49.822002444993,41.5762271268554,17.37616,17.00014,0.6883512,1.537458,1.024059,0.6469975,0.8772926,0.2302952,0.3770618,6.76038940085921
1,1,1,0,1237661059574268881,49.8626610167712,41.608148461664,17.91178,17.52659,1.136337,1.922052,1.480223,0.822258,1.223377,0.4011192,0.6579647,6.83800449276329
1,1,1,0,1237661055281727536,49.7934713179067,41.4935928932685,18.8083,18.44118,1.176728,2.143284,1.504484,0.8134899,1.291016,0.4775257,0.6909943,6.98410403459153
0,0,0,0,1237661059574269662,49.7874764395205,41.5292286819327,19.28735,18.91989,1.718112,2.378429,2.046179,1.155357,1.713688,0.5583305,0.8908215,7.21791028269682
1,1,1,0,1237661055281857996,49.9655399448773,41.3922586115639,19.37686,19.00678,1.181105,1.302105,1.511499,0.821907,1.175476,0.353569,0.6895924,7.29981610082248
0,0,0,0,1237661059574268835,49.7836819044895,41.5217218861315,17.01961,16.65221,0.4356767,1.254475,0.7636795,0.487257,0.6695518,0.1822948,0.2764225,7.34187696691669
1,1,1,0,1237661059574333464,49.9061197597231,41.6328754033241,14.68653,14.29856,1.43324,1.979682,1.779612,0.9529448,1.427343,0.4743986,0.8266668,7.41377299764801
0,0,0,0,1237661059574269626,49.8037808596763,41.5811293306859,18.4143,18.03699,1.766409,2.39562,2.103262,1.161299,1.648123,0.486824,0.9419632,7.60578861669309
0,0,0,0,1237661059574268788,49.8625282439962,41.6234219834059,17.78735,17.39883,1.429353,2.390419,1.776218,0.883852,1.337841,0.453989,0.8923664,7.62182195714438
1,1,1,0,1237661059574333719,50.025488379003,41.6300421407339,13.46985,13.0895,1.630879,2.235578,1.970453,1.050948,1.576554,0.5256062,0.9195051,7.85744049206873
1,1,1,0,1237661059574399621,50.1192252388923,41.4888413843425,14.70269,14.31973,1.535591,2.030753,1.87749,1.005064,1.53086,0.5257959,0.872426,7.88815655745139
1,1,1,0,1237661059574399450,50.1222973668195,41.5145661636805,14.78054,14.39764,1.385805,1.920898,1.727653,0.9469728,1.419871,0.4728985,0.7806797,7.88968249991025
0,0,0,0,1237661055281858002,49.9984859667094,41.3856061598763,18.58372,18.2105,1.884206,2.33016,2.217403,1.269188,1.837666,0.5684776,0.9482155,7.99629991222722
0,0,0,0,1237661055281857731,49.9436540725814,41.3785138119629,18.94984,18.57923,-0.2531218,1.393999,0.07774925,0.3898945,0.3770294,-0.01286507,-0.3121452,8.07633317591691
0,0,1,-1,1237661059574333630,49.9321851966567,41.6482816615919,19.20599,18.82002,6.177217,-4.000988,6.521801,5.943012,6.386049,0.443037,0.5787888,8.13701859742811
1,1,1,0,1237661059574333698,49.9671867685324,41.6480901991767,19.86358,19.4808,0.8795964,7.086775,1.221334,0.6215134,0.8721561,0.2506428,0.5998211,8.15143580396472
1,1,1,0,1237661059574268779,49.8640621036807,41.6352685675764,14.24414,13.85324,1.402718,1.666071,1.751706,0.9271002,1.374076,0.4469757,0.8246059,8.21518358558438
0,0,0,0,1237661055281725886,49.7712214276737,41.4702044779128,15.73157,15.36054,1.445647,1.647493,1.776888,0.8393183,1.336573,0.4972544,0.9375696,8.29589334807368
1,1,1,0,1237661055281726690,49.7624332130551,41.5042953396475,17.14917,16.77906,1.214455,1.777124,1.544878,0.8518677,1.271147,0.4192791,0.6930103,8.29618289558433
1,1,1,0,1237661059574268657,49.7852126845403,41.5811111841682,16.89758,16.52024,1.204623,1.675518,1.541508,0.8537159,1.255493,0.4017773,0.6877918,8.3208490114765
0,0,0,0,1237661059574399641,50.0308283659175,41.3882932987744,16.45989,16.08582,0.5717896,1.436605,0.9057541,0.5805645,0.8196449,0.2390804,0.3251896,8.38988229473541
