name,objID,ra,dec,type,u_g,modelMag_r,g_z,petroRad_r
PCC-0006,1.23766E+18,49.23884103,41.46308518,GALAXY,0.5566769,19.1536,0.4299679,2.01299
PCC-0007,1.23766E+18,49.23913341,41.42148817,GALAXY,2.089037,19.28145,1.954086,2.456815
PCC-0008,1.23766E+18,49.24106435,41.49908643,GALAXY,2.03817,18.44905,2.095968,3.835984
PCC-0011,1.23766E+18,49.24202708,41.4453343,GALAXY,1.421982,19.29897,1.805445,3.312139
PCC-0026,1.23766E+18,49.24653258,41.44511742,GALAXY,1.109688,19.49691,2.378984,3.037775
PCC-0027,1.23766E+18,49.24751736,41.32588602,GALAXY,1.558619,17.59249,1.804649,3.375067
PCC-0040,1.23766E+18,49.25129987,41.32244469,GALAXY,1.072577,19.89751,1.629339,2.969574
PCC-0057,1.23766E+18,49.25648321,41.4395892,GALAXY,1.377638,19.44196,1.350351,3.313377
PCC-0110,1.23766E+18,49.26687331,41.52636486,GALAXY,2.169088,17.55065,2.114252,4.256517
PCC-0160,1.23766E+18,49.27441366,41.5706272,GALAXY,4.13319,19.29786,2.419987,2.449012
PCC-0168,1.23766E+18,49.27576589,41.54145239,GALAXY,1.958893,18.20954,1.866634,5.510351
PCC-0215,1.23766E+18,49.28276578,41.39360931,GALAXY,1.240692,19.02678,0.8793564,2.334627
PCC-0219,1.23766E+18,49.28348741,41.31408012,GALAXY,1.495792,19.02796,1.535952,6.487737
PCC-0246,1.23766E+18,49.28736778,41.42518668,GALAXY,1.648746,18.88248,1.365461,6.386487
PCC-0314,1.23766E+18,49.30081788,41.38113097,GALAXY,1.979811,17.19889,1.777552,4.434128
PCC-0349,1.23766E+18,49.3047949,41.33334613,GALAXY,1.915014,16.79855,1.519541,9.303005
PCC-0358,1.23766E+18,49.30597926,41.29750078,GALAXY,1.392225,21.54359,1.32818,1.03817
PCC-0360,1.23766E+18,49.30671918,41.43550522,GALAXY,1.899044,14.84952,1.712949,9.490194
PCC-0365,1.23766E+18,49.30818992,41.46991785,GALAXY,1.331196,18.13682,0.7435169,6.226564
PCC-0367,1.23766E+18,49.3083344,41.50946189,GALAXY,1.265041,18.41583,1.477068,3.663182
PCC-0452,1.23766E+18,49.32200016,41.48917983,GALAXY,1.119034,18.65126,1.503666,2.702657
PCC-0462,1.23766E+18,49.32368414,41.42144667,GALAXY,1.90966,15.46424,1.748759,9.336884
PCC-0469,1.23766E+18,49.32558665,41.49290095,GALAXY,1.662981,18.41572,1.565184,6.016972
PCC-0494,1.23766E+18,49.33024919,41.53812142,GALAXY,1.604383,18.37996,1.364458,5.764447
PCC-0514,1.23766E+18,49.33290821,41.49986625,GALAXY,1.13596,18.67215,1.418512,3.454882
PCC-0525,1.23766E+18,49.33419406,41.33002897,GALAXY,1.844263,16.71757,1.738333,7.393939
PCC-0538,1.23766E+18,49.33992991,41.40505817,GALAXY,1.874121,21.59883,0.9945374,1.225571
PCC-0571,1.23766E+18,49.34313389,41.59868774,GALAXY,1.603796,19.1549,2.307459,3.18299
PCC-0592,1.23766E+18,49.34640332,41.46574249,GALAXY,3.836075,18.76995,1.139112,4.656266
PCC-0596,1.23766E+18,49.34704514,41.57177324,GALAXY,2.030399,17.96481,2.089478,4.556923
PCC-0602,1.23766E+18,49.34763678,41.47002172,GALAXY,1.977072,17.45461,1.494795,6.135158
PCC-0619,1.23766E+18,49.34970526,41.29616275,GALAXY,1.733004,19.4881,2.500896,1.917019
PCC-0626,1.23766E+18,49.35072301,41.3928174,GALAXY,1.494719,20.76255,0.1501503,1.483078
PCC-0641,1.23766E+18,49.3541038,41.47031462,GALAXY,1.862398,18.69994,1.932531,2.899503
PCC-0670,1.23766E+18,49.35934801,41.33551624,GALAXY,1.983553,17.55119,1.814596,2.91886
PCC-0675,1.23766E+18,49.36002563,41.32335203,GALAXY,1.720154,19.36025,1.592527,2.729219
PCC-0708,1.23766E+18,49.36627854,41.35346936,GALAXY,1.450548,19.37865,1.430326,7.358596
PCC-0709,1.23766E+18,49.36647769,41.2861432,GALAXY,1.877071,18.3949,2.020618,2.593152
PCC-0766,1.23766E+18,49.37568828,41.3131552,GALAXY,1.836525,16.44724,1.359153,9.588817
PCC-0774,1.23766E+18,49.3765929,41.53644685,GALAXY,1.518801,17.73454,1.270788,5.567394
PCC-0817,1.23766E+18,49.38542552,41.30378408,GALAXY,1.894552,20.43471,1.539665,2.763734
PCC-0823,1.23766E+18,49.38699721,41.29698905,GALAXY,1.99568,14.76266,1.744754,10.14158
PCC-0826,1.23766E+18,49.38782699,41.58147105,GALAXY,1.020618,19.63632,1.035004,2.409705
PCC-0828,1.23766E+18,49.38809681,41.39483945,GALAXY,4.289604,24.80204,-2.481848,2.969725
PCC-0837,1.23766E+18,49.38925675,41.57209516,GALAXY,0.9744091,19.4436,0.8735046,2.348555
PCC-0870,1.23766E+18,49.39249337,41.56469642,GALAXY,1.545128,19.34463,1.360119,7.358008
PCC-0928,1.23766E+18,49.40232231,41.34283281,GALAXY,2.481459,19.74675,-2.016743,18.01788
PCC-0945,1.23766E+18,49.40630639,41.40875839,GALAXY,3.095861,19.09043,2.373003,3.937987
PCC-0954,1.23766E+18,49.40700532,41.37285929,GALAXY,2.818373,18.02692,2.251625,4.021092
PCC-0958,1.23766E+18,49.4066632,41.3942287,STAR,-0.5288734,24.80151,6.705832,2.969725
PCC-0974,1.23766E+18,49.41106294,41.47481464,GALAXY,3.481417,19.07925,2.45356,3.318615
PCC-0985,1.23766E+18,49.41048536,41.51826474,GALAXY,1.458317,20.85366,2.241245,2.969488
PCC-0989,1.23766E+18,49.41731646,41.38973549,STAR,0.9296036,21.00918,3.590389,0.9592612
PCC-0993,1.23766E+18,49.4148547,41.56115098,GALAXY,1.231678,19.06888,1.599281,6.252038
PCC-0997,1.23766E+18,49.41578593,41.32186588,GALAXY,1.363445,21.62369,0.7966175,1.333444
PCC-1064,1.23766E+18,49.42663419,41.31589607,GALAXY,2.216972,19.41731,2.613037,2.570463
PCC-1067,1.23766E+18,49.42731063,41.32312377,GALAXY,2.650261,17.73236,1.320105,11.06858
PCC-1078,1.23766E+18,49.42842184,41.59987796,GALAXY,1.870342,17.32182,1.601402,11.40169
PCC-1101,1.23766E+18,49.43169817,41.36319185,GALAXY,1.596251,21.16241,0.1719437,3.635142
PCC-1191,1.23766E+18,49.447693,41.57500186,GALAXY,1.179611,19.28125,2.363596,2.867623
PCC-1198,1.23766E+18,49.44868501,41.33836196,GALAXY,1.254122,18.74508,1.823336,3.30635
PCC-1208,1.23766E+18,49.45077961,41.52441853,GALAXY,1.893843,18.05545,2.355289,5.027214
PCC-1212,1.23766E+18,49.45101775,41.32011612,GALAXY,1.34894,19.29746,1.336483,4.807751
PCC-1220,1.23766E+18,49.4517636,41.40831891,GALAXY,1.134291,19.45683,1.533762,11.30644
PCC-1222,1.23766E+18,49.45253966,41.58512211,GALAXY,2.340355,18.69894,2.300087,1.684652
PCC-1282,1.23766E+18,49.46152105,41.52200933,GALAXY,1.788113,19.21583,1.71624,4.859988
PCC-1336,1.23766E+18,49.47095407,41.34653383,GALAXY,1.093185,19.2978,1.966539,4.281977
PCC-1378,1.23766E+18,49.47776114,41.38332314,GALAXY,2.810034,18.50161,2.342325,4.792605
PCC-1387,1.23766E+18,49.47827066,41.51745588,GALAXY,1.979567,20.63538,2.869387,1.392779
PCC-1388,1.23766E+18,49.47836034,41.28464403,STAR,1.399605,18.19622,0.814724,1.029408
PCC-1406,1.23766E+18,49.48152174,41.43403264,GALAXY,2.504612,19.52432,2.423527,2.268311
PCC-1433,1.23766E+18,49.48537144,41.41541215,GALAXY,1.687677,18.88833,2.264864,4.056466
PCC-1467,1.23766E+18,49.48979015,41.53156579,STAR,1.093758,21.51929,2.648016,1.015535
PCC-1515,1.23766E+18,49.49777021,41.61884405,GALAXY,2.63018,19.14728,3.015774,2.736268
PCC-1530,1.23766E+18,49.50062495,41.37932194,GALAXY,2.066359,18.21156,1.942371,2.837558
PCC-1543,1.23766E+18,49.50281729,41.2990948,GALAXY,1.815702,16.05032,1.647505,7.688799
PCC-1565,1.23766E+18,49.50623547,41.51234979,GALAXY,1.387699,19.29245,1.748886,2.591479
PCC-1577,1.23766E+18,49.50778076,41.55777374,GALAXY,1.625053,20.4072,1.513237,2.463989
PCC-1578,1.23766E+18,49.50781783,41.41488919,GALAXY,2.131687,19.25467,2.37862,2.69051
PCC-1581,1.23766E+18,49.50814973,41.40686426,GALAXY,1.617607,19.18396,2.170547,2.971488
PCC-1592,1.23766E+18,49.50935323,41.51347114,GALAXY,1.211895,21.59679,0.3799782,1.443977
PCC-1613,1.23766E+18,49.51257253,41.51276519,GALAXY,1.45319,20.52712,1.437424,1.257279
PCC-1617,1.23766E+18,49.51316888,41.37830978,GALAXY,1.423109,19.12683,2.038162,2.729274
PCC-1623,1.23766E+18,49.51426987,41.6052745,STAR,3.352455,19.02906,3.430494,0.9914836
PCC-1628,1.23766E+18,49.51541393,41.32305992,GALAXY,2.152695,16.70314,1.878805,4.110968
PCC-1655,1.23766E+18,49.51836975,41.36974302,GALAXY,1.658012,16.87384,1.638861,10.23682
PCC-1684,1.23766E+18,49.52319297,41.43548125,GALAXY,1.129246,19.06034,1.5077,6.111115
PCC-1689,1.23766E+18,49.52351842,41.51822288,GALAXY,1.437931,18.18948,1.546644,3.301259
PCC-1691,1.23766E+18,49.52440202,41.5813583,GALAXY,2.016371,16.32676,1.76267,10.10991
PCC-1693,1.23766E+18,49.52462712,41.43051772,GALAXY,1.156378,19.17819,1.276268,3.038829
PCC-1707,1.23766E+18,49.52684393,41.32952689,GALAXY,1.152348,18.77175,0.805294,3.169831
PCC-1736,1.23766E+18,49.53065703,41.55389745,GALAXY,1.351978,20.88006,1.113539,1.534005
PCC-1742,1.23766E+18,49.53186823,41.52256486,GALAXY,1.618532,17.70627,1.768684,4.032264
PCC-1749,1.23766E+18,49.533039,41.41523673,GALAXY,2.1388,17.72598,2.560955,4.096015
PCC-1782,1.23766E+18,49.53914691,41.4577012,GALAXY,2.887321,18.19508,2.50878,5.295591
PCC-1795,1.23766E+18,49.54112656,41.53893511,GALAXY,1.635536,17.08435,1.69525,10.59743
PCC-1827,1.23766E+18,49.54751103,41.52250418,GALAXY,1.858179,19.03877,2.410738,2.239256
PCC-1833,1.23766E+18,49.54860374,41.61684291,GALAXY,2.00297,18.38352,1.539364,5.749384
PCC-1837,1.23766E+18,49.54908319,41.57235924,GALAXY,2.591896,19.75091,2.554968,3.719354
PCC-1842,1.23766E+18,49.55017946,41.423342,GALAXY,1.867548,17.63637,1.56221,6.34305
PCC-1849,1.23766E+18,49.55112971,41.40424236,GALAXY,1.934937,18.29836,1.980097,2.725607
PCC-1867,1.23766E+18,49.55393231,41.50201273,GALAXY,5.081095,19.56563,1.89336,3.664067
PCC-1884,1.23766E+18,49.55702539,41.46158905,GALAXY,2.776468,20.47499,1.627743,1.694162
PCC-1896,1.23766E+18,49.55911195,41.50269492,GALAXY,1.647087,18.12185,2.114698,2.813462
PCC-1937,1.23766E+18,49.56671225,41.27752097,GALAXY,1.6362,18.45231,1.588932,18.01882
PCC-1940,1.23766E+18,49.56693566,41.36879489,GALAXY,1.912535,18.43174,1.923306,2.868319
PCC-1947,1.23766E+18,49.56782047,41.57993264,GALAXY,0.6016788,21.50932,1.441107,1.475787
PCC-1967,1.23766E+18,49.57050098,41.45904624,GALAXY,1.918211,20.76944,2.446674,1.236866
PCC-1984,1.23766E+18,49.57412664,41.50310605,GALAXY,1.839634,17.02637,1.672237,9.353975
PCC-1992,1.23766E+18,49.5755142,41.48656559,GALAXY,0.9309406,17.51773,0.6735687,6.130694
PCC-2021,1.23766E+18,49.57905231,41.69359628,GALAXY,4.4687,19.97139,0.6857929,4.725278
PCC-2031,1.23766E+18,49.58105121,41.33390137,GALAXY,3.723814,19.05031,1.912785,2.765185
PCC-2039,1.23766E+18,49.58201924,41.29427544,GALAXY,2.178457,19.35369,1.877493,6.64329
PCC-2079,1.23766E+18,49.58768556,41.39170322,GALAXY,1.483286,19.47024,1.445553,3.117248
PCC-2087,1.23766E+18,49.58851925,41.68963479,GALAXY,1.366329,19.13894,1.683722,4.349349
PCC-2113,1.23766E+18,49.59072378,41.67530431,GALAXY,2.003326,19.52824,1.967318,1.203707
