#Table1
objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671939804561475,6162,301,3,133,67,3,258.213356606074,64.0731695719281,19.22808,17.19313,16.26248,15.74695,15.4874,0.04919117,0.004988501,0.003694817,0.003473432,0.007416609
1237671939804627251,6162,301,3,134,307,6,258.260167543911,64.0702225709873,19.30001,17.40798,16.68829,16.41637,16.27152,0.02723416,0.004706892,0.004365392,0.004658309,0.0076953
1237671939804561639,6162,301,3,133,231,6,258.251378600164,64.0393962405852,16.63657,14.89469,14.24193,13.98425,13.87426,0.006983734,0.003036152,0.00343139,0.003743937,0.003980473
1237671939804627072,6162,301,3,134,128,6,258.280792962854,64.0319260593415,18.49192,17.00065,16.38877,16.15469,15.999,0.01713499,0.004150209,0.00407952,0.00446226,0.006826411
1237671939804627060,6162,301,3,134,116,6,258.273505870806,64.0389626169344,17.9413,16.48293,15.9651,15.78293,15.71097,0.01273685,0.003673367,0.003852826,0.004205795,0.006094229
1237671939804561999,6162,301,3,133,591,3,258.230950966989,64.0324090245585,19.72405,18.28127,17.63827,17.26305,17.14701,0.07632108,0.009322798,0.007875269,0.008122045,0.02589248
1237671939804562030,6162,301,3,133,622,3,258.26622326821,64.0331796477187,19.90379,18.87459,18.63715,18.39549,18.3546,0.05814891,0.01053624,0.011511,0.0129125,0.04428176
1237671939804561484,6162,301,3,133,76,3,258.181636206375,64.0535395386398,19.58479,17.71295,16.78555,16.3432,16.07186,0.05082011,0.005918154,0.004367802,0.004220489,0.008886102
1237671939804561642,6162,301,3,133,234,3,258.240261294789,64.0510323941055,19.97055,18.02808,17.15332,16.75653,16.5045,0.07911072,0.007816929,0.005617437,0.005608907,0.01337698
1237671939804561640,6162,301,3,133,232,3,258.258457858944,64.0522970884749,17.96696,15.81899,14.82889,14.39119,14.08146,0.03141735,0.003212881,0.002435178,0.002401663,0.004510812
