#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661060110747066,49.1436829884668,42.4219384089768,16.07504,1.998447,2.215474,1.122017,1.702626,0.5806093,1.093457,9.620396,35221147881488,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874724824769652736,0.05158978,1.336656E-05,0,GALAXY,
1237661060110811855,49.2296735908279,42.2840887974487,16.24557,2.197065,2.196588,1.107761,1.748917,0.6411552,1.088826,7.330727,35221148401684,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 NOTCHECKED INTERP CHILD EDGE ,1874727573548722176,0.06585727,7.500473E-06,0,GALAXY,STARFORMING
1237661055818990429,50.9058912284345,41.3664650588926,17.20432,1.97197,2.094337,1.089518,1.63682,0.5473022,1.00482,3.68108,34628173824,BAD_MOVING_FIT BINNED1 ,1874631916037105664,0.04802332,1.329045E-05,0,GALAXY,
1237661120777552730,49.3541199123289,40.1831962134289,17.92622,2.267807,2.387869,1.401476,1.985615,0.5841389,0.986393,3.618593,35289867223056,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 CHILD ,1874691014787098624,0.1723245,3.170253E-05,0,GALAXY,
1237661055818204072,48.9050285742338,42.3345714647922,16.70261,2.172316,2.157343,1.198481,1.722281,0.5237999,0.9588623,3.487019,52845546180624,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874712455263840256,0.1132032,1.866681E-05,0,GALAXY,BROADLINE
1237661059573874818,48.7727101478848,42.2179841474826,18.62355,1.719713,1.949223,1.140469,1.56146,0.4209919,0.808754,1.356768,123248650092632,DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875838630300248064,-1.446602E-05,8.890389E-06,0,STAR,K3
1237661121851491097,50.3289818337135,40.5257925540216,16.98603,2.178986,2.274929,1.289692,1.846457,0.5567646,0.9852371,5.776468,35255507484688,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 CHILD ,1874648133833615360,0.1545012,2.441008E-05,0,GALAXY,
1237661082662470657,49.6101684670368,40.7477335975658,16.73056,2.136969,2.209334,1.237644,1.773087,0.5354424,0.9716902,7.304821,35253360001296,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOPETRO CHILD ,1874683593083611136,0.140307,1.858524E-05,0,GALAXY,
1237661060648273066,51.0139111014145,41.9335956108045,17.03672,2.301186,2.412901,1.321621,1.922663,0.6010418,1.09128,4.432404,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874783923519645696,0.1317853,2.284114E-05,0,GALAXY,
1237670458048119931,49.2224407532527,41.2107571670515,17.60284,1.927408,2.03977,1.12451,1.647514,0.5230045,0.9152603,3.471,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875822687381645312,0.1297812,2.007253E-05,0,GALAXY,AGN
1237661082662077426,48.5421540424298,41.1653888500425,17.9562,2.943592,2.258812,1.368494,1.93737,0.5688763,0.8903179,1.294231,72057663025840128,MAYBE_CR STATIONARY BINNED1 ,1875834782009550848,-0.0001585719,8.918236E-06,0,STAR,K7
1237661056355533145,50.3919240202929,42.0448601777284,18.41097,2.966528,2.718166,1.542536,2.27276,0.7302246,1.175631,1.162031,123179930615896,DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875898003928147968,-0.0004191752,1.143296E-05,0,STAR,M0
