#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661055281530187,49.1530003249114,41.5955682098865,17.32498,2.178995,2.192465,1.241671,1.773619,0.5319481,0.9507942,5.407341,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875868317114198016,0.1465144,2.834248E-05,0,GALAXY,
1237661055281661187,49.4421739623854,41.5116662675731,17.45889,2.733459,2.67536,1.498091,2.227669,0.729578,1.177269,1.744847,72057628666236928,MAYBE_CR BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY ,1874687991130122240,5.100076E-05,8.283845E-06,0,STAR,M0
1237661059574072371,49.2704224083103,41.8801243695276,17.53646,2.797422,2.757013,1.487082,2.275837,0.7887554,1.269932,1.222599,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874739668176627712,2.560834E-05,7.899024E-06,0,STAR,M0
1237661059574072371,49.2704224083103,41.8801243695276,17.53646,2.797422,2.757013,1.487082,2.275837,0.7887554,1.269932,1.222599,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875866118090942464,1.52504E-05,9.038277E-06,0,STAR,M1
1237661060111401930,50.7700694512557,41.7542798736106,14.95202,3.206179,2.682261,1.724278,2.412503,0.6882248,0.9579821,1.146511,52813333921808,DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1875910373433960448,0.0001075552,8.978011E-06,0,STAR,M0
1237661055818990429,50.9058912284345,41.3664650588926,17.20432,1.97197,2.094337,1.089518,1.63682,0.5473022,1.00482,3.68108,34628173824,BAD_MOVING_FIT BINNED1 ,1874631916037105664,0.04802332,1.329045E-05,0,GALAXY,
1237661055281857482,50.0039643129297,41.3409569288291,17.69603,2.224802,2.140968,1.194695,1.712109,0.5174141,0.9462738,4.11813,35259802583056,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP CHILD ,1874672872845240320,0.1361599,1.990193E-05,0,GALAXY,
1237661060111402196,50.7499979455199,41.6323363181993,16.95242,2.185713,2.223492,1.244482,1.750311,0.5058289,0.9790096,6.720034,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874786672298715136,0.1329795,2.024555E-05,0,GALAXY,
1237670458048119931,49.2224407532527,41.2107571670515,17.60284,1.927408,2.03977,1.12451,1.647514,0.5230045,0.9152603,3.471,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875822687381645312,0.1297812,2.007253E-05,0,GALAXY,AGN
1237661121850966603,49.1608997235118,41.266242194897,17.41565,2.958443,2.440973,1.494253,2.043756,0.5495033,0.9467201,3.980486,52845546704916,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 NOTCHECKED INTERP COSMIC_RAY CHILD EDGE ,1875823237137459200,0.1461723,2.190318E-05,0,GALAXY,
