#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661056355272123,49.7772725212463,42.352796576419,18.18231,2.725342,3.739212,1.511387,2.957787,1.4464,2.227825,1.15706,175997290942512,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY PEAKCENTER CHILD ,1875859521021175808,5.468904E-05,1.449661E-05,0,STAR,M4
1237661060110747066,49.1436829884668,42.4219384089768,16.07504,1.998447,2.215474,1.122017,1.702626,0.5806093,1.093457,9.620396,35221147881488,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874724824769652736,0.05158978,1.336656E-05,0,GALAXY,
1237661055818990429,50.9058912284345,41.3664650588926,17.20432,1.97197,2.094337,1.089518,1.63682,0.5473022,1.00482,3.68108,34628173824,BAD_MOVING_FIT BINNED1 ,1874631916037105664,0.04802332,1.329045E-05,0,GALAXY,
1237661055818204072,48.9050285742338,42.3345714647922,16.70261,2.172316,2.157343,1.198481,1.722281,0.5237999,0.9588623,3.487019,52845546180624,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874712455263840256,0.1132032,1.866681E-05,0,GALAXY,BROADLINE
1237661060110811855,49.2296735908279,42.2840887974487,16.24557,2.197065,2.196588,1.107761,1.748917,0.6411552,1.088826,7.330727,35221148401684,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 NOTCHECKED INTERP CHILD EDGE ,1874727573548722176,0.06585727,7.500473E-06,0,GALAXY,STARFORMING
1237661056355729567,50.909961129442,41.8388566300465,16.15878,-5.665552,9.954689,8.94875,9.587044,0.6382942,1.005939,17.07143,35253361447184,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY NOPETRO CHILD ,1875910923189774336,0.04867272,1.153769E-05,0,GALAXY,
1237670458048119916,49.3052263592404,41.1654926559812,17.54562,2.074371,2.185951,1.204983,1.731142,0.5261593,0.9809685,3.597123,193585182019600,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874686066984773632,0.1352471,2.046187E-05,0,GALAXY,
1237661120777552730,49.3541199123289,40.1831962134289,17.92622,2.267807,2.387869,1.401476,1.985615,0.5841389,0.986393,3.618593,35289867223056,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 CHILD ,1874691014787098624,0.1723245,3.170253E-05,0,GALAXY,
1237661083199079436,49.1598467942621,41.3603819153231,17.59345,2.706192,3.37762,1.519245,2.717966,1.198721,1.858375,1.141658,193583034531856,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1874697336978958336,0.0001001927,1.019218E-05,0,STAR,M3
1237661055281725850,49.6862761715124,41.4674857522114,12.98249,2.095016,2.319798,1.742271,2.277477,0.5352058,0.5775261,16.12713,35219001708560,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875813891288623104,0.01764006,6.639041E-06,0,GALAXY,
1237670458048119931,49.2224407532527,41.2107571670515,17.60284,1.927408,2.03977,1.12451,1.647514,0.5230045,0.9152603,3.471,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875822687381645312,0.1297812,2.007253E-05,0,GALAXY,AGN
1237670457510920517,49.2729493763286,40.2611191165874,15.08789,2.481157,2.203993,1.151182,1.728583,0.5774012,1.052811,11.36325,35219000397840,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875830658840946688,0.02724278,8.75159E-06,0,GALAXY,BROADLINE
