objID,ra,dec,u_g,g_z,modelMag_r,petroRad_r
1.23766E+18,49.8773046,41.45704068,1.492826,1.06723,17.29908,0.9176876
1.23766E+18,50.39971144,41.75398847,1.306593,0.8637962,16.70027,0.8808787
1.23766E+18,49.40013517,41.60145917,1.268311,0.8577423,16.21298,1.02374
1.23766E+18,50.10969957,41.11327765,1.688823,1.245046,14.39048,1.09619
1.23766E+18,50.82943393,41.3554787,1.340302,0.9369173,14.46346,0.9791539
1.23766E+18,50.85398629,41.53290526,1.22254,0.8374195,16.66823,0.9117407
1.23766E+18,49.06646875,41.35129017,1.556528,1.175728,16.07713,1.001979
1.23766E+18,49.07411323,41.76125023,1.087545,0.8166008,14.15251,2.046735
1.23766E+18,50.29001656,41.14807459,1.187849,0.7592525,16.53145,1.048071
1.23766E+18,50.18644554,42.18864955,1.267548,0.842186,17.09523,0.9221036
1.23766E+18,50.21433406,42.16565006,0.9664307,0.7190685,17.17665,3.863254
1.23766E+18,50.72616963,41.90089257,1.493275,1.071456,15.69786,0.9959818
1.23766E+18,49.44688581,41.75468156,1.667002,1.222795,16.68447,0.9237674
1.23766E+18,49.43428659,41.7365544,1.430266,1.05386,14.95928,0.92655
1.23766E+18,49.55895625,41.84858523,1.329876,1.110321,17.00362,0.8609325
1.23766E+18,50.42134777,41.24462682,1.441355,1.043163,15.83184,1.031585
1.23766E+18,49.7718836,42.19730381,1.225863,0.7832699,16.52611,0.8210017
1.23766E+18,49.01753392,41.46578567,1.306965,0.8867197,16.48195,1.965636
1.23766E+18,49.39233111,41.35757983,1.215085,0.780014,15.91224,1.342671
1.23766E+18,49.41406134,41.32048478,1.297127,0.9968338,16.51083,1.048198
1.23766E+18,49.79051934,41.08531397,1.238567,1.168781,16.90316,50.33392
1.23766E+18,49.36567488,41.43020003,1.253868,0.8183994,17.29457,1.660099
1.23767E+18,49.3695929,40.98617518,1.272781,1.10415,15.06886,2.15837
1.23766E+18,49.07535777,41.77435559,1.15864,0.7414808,16.54707,1.650226
1.23766E+18,49.73161411,41.45108127,1.035145,0.8739233,14.0256,2.005193
1.23766E+18,50.63979831,41.04356768,1.60301,1.346428,16.55861,0.983512
1.23766E+18,49.39561685,42.08283214,1.21026,0.7618904,17.15692,0.984341
1.23766E+18,49.60700383,41.97411646,1.678837,1.31978,16.06336,0.9825223
1.23766E+18,49.58096371,41.92393983,1.581541,1.246832,16.97621,0.9942259
1.23766E+18,49.94005875,42.21558851,1.555634,1.158245,17.25562,7.728352
1.23766E+18,50.3168694,42.18998029,1.250416,0.8459759,17.22142,0.9022872
1.23766E+18,50.87816022,41.73797992,1.296124,0.9366589,16.56319,0.9814203
1.23766E+18,49.2736808,41.77622631,1.405233,1.050438,17.10021,0.8607879
1.23766E+18,49.52390494,41.88500822,1.274299,0.8576002,14.81895,0.8444088
1.23766E+18,49.74061793,42.19723436,1.128825,0.9813061,14.43176,1.907389
1.23766E+18,50.095229,42.06893091,1.117666,0.8926811,16.70831,0.9118443
1.23766E+18,50.55299895,41.77964678,1.357788,0.9400673,16.13843,0.8831731
1.23766E+18,50.61614098,41.78140958,1.56702,1.166727,16.27663,0.9068078
1.23766E+18,50.89761843,41.66244469,1.394857,0.9524088,15.675,0.8896028
1.23766E+18,49.01049656,41.47808018,1.508141,1.058538,16.902,1.034656
1.23766E+18,49.40022011,41.32418302,1.523367,1.134323,16.23981,1.032854
1.23766E+18,49.38720613,41.26507596,1.659449,1.425833,14.24174,2.267066
1.23766E+18,49.45922759,41.1912755,1.600412,1.170527,16.45075,1.010221
1.23766E+18,50.28462775,40.82713128,1.245188,0.8064251,17.04367,1.023821
1.23766E+18,49.05289341,41.23525403,1.327209,1.175095,13.34245,2.936723
1.23767E+18,49.82474631,40.78757172,1.229034,0.7885952,17.14755,1.36978
1.23767E+18,49.56697011,41.07106705,1.542469,1.100933,15.52481,1.420123
1.23766E+18,49.17747838,41.7050697,1.0914,0.7918835,17.05154,1.024759
1.23766E+18,49.19585169,41.57896678,1.335091,0.8918495,16.5639,1.050802
1.23766E+18,49.42287082,41.47761348,1.548195,1.169824,16.1838,1.044277
1.23766E+18,49.58720126,41.55782223,1.377148,0.9330082,16.67336,0.981408
1.23766E+18,49.66191688,41.34366882,1.210205,0.7744026,16.6885,1.023368
1.23766E+18,49.92832858,41.3431161,1.270927,0.8895149,17.09599,1.04993
1.23766E+18,49.91482737,41.28445262,1.31526,0.9167747,16.48647,1.081684
1.23766E+18,50.10215263,41.31831526,1.45326,1.031088,16.42543,1.037837
1.23766E+18,50.42631438,41.05555447,1.129446,0.6799011,17.21166,1.026105
1.23766E+18,49.47348972,41.98018836,1.334278,0.8975468,16.86622,1.001905
1.23766E+18,49.66471587,42.03775217,1.648087,1.215456,16.58104,0.9569671
1.23766E+18,50.09191905,41.64091692,0.8708735,0.636302,14.49762,20.99753
1.23766E+18,50.15473543,41.81524339,1.371292,0.9434414,17.2979,0.9393811
1.23766E+18,50.18995365,41.57040366,1.22221,0.8231525,17.25367,1.04764
1.23766E+18,50.24026933,41.58427622,1.386299,0.9403515,17.11149,1.05195
1.23766E+18,50.25173505,41.54117774,1.38661,0.960762,16.56107,1.056493
1.23766E+18,50.30839116,41.5316254,1.378603,0.9454765,16.87202,1.040918
1.23766E+18,50.75794492,41.47913557,1.241108,0.798913,14.15564,1.77124
1.23766E+18,50.3247502,42.05092171,1.454742,1.012007,16.86828,0.9211109
1.23766E+18,50.29882507,42.02152829,1.437668,0.9969997,17.09138,0.9171731
1.23766E+18,50.50300219,41.95578452,1.412962,0.9745941,14.57835,1.342907
1.23766E+18,50.57350592,41.90123928,1.379778,0.9506454,17.0449,0.9825446
1.23766E+18,49.26567857,41.90320249,1.175068,0.7300282,16.45618,0.9283178
1.23766E+18,49.52127023,41.65836373,1.547784,1.489007,13.78699,2.287053
1.23766E+18,49.59209493,41.72643345,1.372952,0.9307661,15.82856,0.9771619
1.23766E+18,49.60760481,41.64003894,1.310728,0.8634033,17.08042,0.9852793
1.23766E+18,49.64760695,41.66702696,1.492706,1.395806,14.43611,2.502188
1.23766E+18,49.75387641,41.76117063,1.60483,1.273209,15.72976,2.0945
1.23766E+18,49.73389664,41.67598561,1.321464,1.125861,16.425,1.709354
1.23766E+18,49.76315856,41.5919021,1.570852,1.132645,16.18272,0.9468842
1.23766E+18,50.20447951,41.47430876,1.443125,1.006519,17.02351,0.9222488
1.23766E+18,49.72512166,42.07295493,1.288143,0.8514528,15.50913,0.8770149
1.23766E+18,49.79113181,42.10424466,1.49192,1.095057,16.98709,0.8567348
1.23766E+18,49.82659625,42.07040098,1.441427,1.105461,16.9434,0.8652127
1.23766E+18,50.11221405,42.06241152,1.477049,1.032084,16.35617,0.9073685
1.23766E+18,50.61140955,41.77855992,1.592031,1.155323,17.13328,0.925117
1.23766E+18,50.78068908,41.74965972,1.524017,1.087038,16.44231,0.9223631
1.23766E+18,50.79837617,41.57461651,1.331644,0.901825,17.10161,0.9553947
1.23766E+18,49.26478274,41.27714771,1.473613,1.119492,13.59568,2.149889
1.23766E+18,49.16172859,41.26082847,1.231067,0.7897024,15.07861,1.683914
1.23766E+18,50.36433007,40.95345923,1.303736,0.8586025,15.17364,1.974869
1.23767E+18,49.84628533,40.93556203,1.282797,0.8340073,16.91683,1.297475
1.23767E+18,49.28615625,41.1635782,1.407112,0.9939537,16.74006,1.161515
1.23767E+18,49.24430897,41.20934706,1.258434,0.8220215,17.25666,1.173818
1.23767E+18,49.87465334,41.77886592,1.395893,1.030403,13.40079,2.316446
1.23767E+18,49.90219838,41.79543843,1.342012,0.9705343,16.18479,1.307689
1.23767E+18,49.96320101,41.85239393,1.306007,0.8932524,15.98883,1.26373
1.23767E+18,49.8512842,40.8766103,1.309151,0.8927803,17.13655,1.388152
1.23767E+18,49.46299379,41.03368107,1.443695,1.046783,17.14157,1.34277
1.23766E+18,49.5528736,41.5441882,1.648001,1.21946,16.63539,1.002081
1.23766E+18,49.60087253,41.48267501,1.337971,0.9124851,15.84621,1.003706
1.23766E+18,50.04207135,41.26343846,1.449045,1.029245,17.29363,1.072927
1.23766E+18,50.05527904,41.28687433,1.696915,1.362309,15.6514,7.559559
1.23766E+18,50.12421118,41.2472534,1.178989,0.7529163,16.45145,1.050271
1.23766E+18,50.28353607,41.07089343,1.265547,0.8249035,16.72132,1.078552
1.23766E+18,50.33627693,40.99354155,1.319897,0.9073582,16.22747,1.045706
1.23766E+18,50.52715953,41.0818032,1.506502,1.410624,16.68204,10.92927
1.23766E+18,49.47508808,42.10603098,1.391876,0.9858551,15.51776,1.880544
1.23766E+18,49.51197928,42.12088637,1.142786,0.698576,17.29781,0.9717354
1.23766E+18,49.669942,41.98491614,1.614246,1.190058,15.21445,0.9855186
1.23766E+18,49.72699953,41.90162514,1.336184,0.8897171,17.02838,0.9780794
1.23766E+18,49.89838038,41.94055139,1.50611,1.182158,15.91628,1.866455
1.23766E+18,49.79528657,41.80189844,1.368696,0.9639664,16.22303,0.980389
1.23766E+18,50.17809111,41.76581794,1.236499,0.8126974,14.36767,1.878743
1.23766E+18,50.24913104,41.73458456,1.38644,1.00036,16.47867,0.9815233
1.23766E+18,50.28521436,41.53914684,0.9437199,0.9061947,16.74739,1.047643
1.23766E+18,50.34438503,41.59910318,1.483971,1.036179,16.48533,1.04112
1.23766E+18,50.39466978,41.64155524,1.248338,0.8656921,14.82075,1.124818
1.23766E+18,50.35718417,41.59034522,1.49071,1.170211,15.39045,2.363776
1.23766E+18,50.42592695,41.50981343,1.338494,1.020479,13.76219,2.078271
1.23766E+18,50.76470113,41.44325498,1.304142,0.9116096,17.21014,0.987403
1.23766E+18,50.80157112,41.26162923,1.35305,0.9443798,15.27642,1.00023
1.23766E+18,50.0648362,42.16617692,1.445765,1.015672,14.39052,2.030111
1.23766E+18,50.17196968,42.17508649,1.138895,0.7071934,16.78483,0.9513248
1.23766E+18,50.45422577,42.15646849,1.433715,1.199039,13.84133,2.078286
1.23766E+18,50.34669708,42.02753617,1.419134,0.9703655,16.43213,0.9299234
1.23766E+18,50.69783115,41.96251712,1.404512,0.9950275,16.81362,0.9867503
1.23766E+18,50.57146626,41.87013277,1.554131,1.164149,15.71237,1.016389
1.23766E+18,50.73847375,41.91210347,1.203882,0.7822533,16.95656,0.9921307
1.23766E+18,50.7405097,41.79876996,1.09757,0.7704172,16.23459,1.006967
1.23766E+18,50.82854691,41.86593665,1.353001,1.072989,15.60362,0.9665436
1.23766E+18,50.82732101,41.86581913,1.569496,1.363292,16.17318,0.9404417
1.23766E+18,50.85167,41.75759188,1.399818,0.9710236,17.16821,0.9832004
1.23766E+18,49.22972699,41.81118613,1.009638,0.7972336,15.61858,0.9153023
1.23766E+18,49.51934677,41.86576652,1.378099,0.9432545,16.43833,0.8763248
1.23766E+18,49.47209482,41.7555608,1.318293,0.9333906,15.87233,0.9189155
1.23766E+18,49.67044705,41.73750276,1.604307,1.211025,15.37886,1.082396
1.23766E+18,49.72366553,41.77027021,1.226551,0.839922,16.53959,0.9390686
1.23766E+18,49.62721973,41.60904256,1.205261,0.7619791,16.07335,0.989954
1.23766E+18,50.14993486,41.32449632,1.149893,0.7762175,14.09074,1.872421
1.23766E+18,50.332593,41.4520245,1.65793,1.374801,15.95005,1.94716
1.23766E+18,50.23356187,41.30010245,1.050859,0.8605042,15.8094,1.929818
1.23766E+18,50.28794428,41.34777043,1.337912,0.888731,16.76258,0.9836372
1.23766E+18,50.32258846,41.36515681,1.46022,1.022133,16.86643,0.9781438
1.23766E+18,50.37838708,41.35866589,0.8364849,0.6611118,17.25168,18.83058
1.23766E+18,50.42991229,41.29470615,1.021613,0.8111095,15.37309,2.036012
1.23766E+18,50.58967583,41.16195051,1.27103,0.920332,17.05345,0.8900185
1.23766E+18,50.63869631,41.18642697,0.9568901,0.6691685,14.36982,1.338826
1.23766E+18,49.68541647,42.07376468,1.071472,1.062723,14.09642,2.074867
1.23766E+18,49.8154886,42.19546467,1.571362,1.155708,16.65599,0.8246948
1.23766E+18,49.78695953,42.09682824,1.422888,1.319847,14.31817,2.009949
1.23766E+18,49.78496397,42.01355166,1.078872,0.9993906,13.97615,2.050467
1.23766E+18,49.9956644,42.12990449,1.659582,1.271376,16.93346,0.8986043
